기업 이름,이동 링크,총 만족도,평균 임금
나이스정보통신(주),/companies/42729/info/%EB%82%98%EC%9D%B4%EC%8A%A4%EC%A0%95%EB%B3%B4%ED%86%B5%EC%8B%A0?,3.7,"6,634"
(주)모두싸인,/companies/338974/info/%EB%AA%A8%EB%91%90%EC%8B%B8%EC%9D%B8?,3.7,"4,644"
(주)스냅컴퍼니,/companies/351998/info/%EC%8A%A4%EB%83%85%EC%BB%B4%ED%8D%BC%EB%8B%88?,3.7,"3,002"
(주)유니포스트,/companies/106911/info/%EC%9C%A0%EB%8B%88%ED%8F%AC%EC%8A%A4%ED%8A%B8?,3.7,"3,824"
(주)이랜서,/companies/59119/info/%EC%9D%B4%EB%9E%9C%EC%84%9C?,3.7,"3,797"
(주)크레비스파트너스,/companies/52356/info/%ED%81%AC%EB%A0%88%EB%B9%84%EC%8A%A4%ED%8C%8C%ED%8A%B8%EB%84%88%EC%8A%A4?,3.7,"3,920"
(주)파운트,/companies/315414/info/%ED%8C%8C%EC%9A%B4%ED%8A%B8?,3.7,"4,676"
파이언넷(주),/companies/5318/info/%ED%8C%8C%EC%9D%B4%EC%96%B8%EB%84%B7?,3.7,"4,707"
(주)기원테크,/companies/339142/info/%EA%B8%B0%EC%9B%90%ED%85%8C%ED%81%AC?,3.7,"3,718"
(주)코그넥스코리아,/companies/319140/info/%EC%BD%94%EA%B7%B8%EB%84%A5%EC%8A%A4%EC%BD%94%EB%A6%AC%EC%95%84?,3.7,"6,279"
스터디코드네트웍스(주),/companies/25303/info/%EC%8A%A4%ED%84%B0%EB%94%94%EC%BD%94%EB%93%9C%EB%84%A4%ED%8A%B8%EC%9B%8D%EC%8A%A4?,3.7,"3,414"
(주)지마켓,/companies/58985/info/%EC%A7%80%EB%A7%88%EC%BC%93?,3.7,"6,695"
(주)포스타입,/companies/344544/info/%ED%8F%AC%EC%8A%A4%ED%83%80%EC%9E%85?,3.7,"4,278"
다음커뮤니케이션(주),/companies/82715/info/%EB%8B%A4%EC%9D%8C%EC%BB%A4%EB%AE%A4%EB%8B%88%EC%BC%80%EC%9D%B4%EC%85%98?,3.7,"5,549"
마이리얼트립(주),/companies/274257/info/%EB%A7%88%EC%9D%B4%EB%A6%AC%EC%96%BC%ED%8A%B8%EB%A6%BD?,3.7,"4,973"
세시소프트(주),/companies/71984/info/%EC%84%B8%EC%8B%9C%EC%86%8C%ED%94%84%ED%8A%B8?,3.7,"2,977"
테이블링(주),/companies/319036/info/%ED%85%8C%EC%9D%B4%EB%B8%94%EB%A7%81?,3.7,"4,011"
(주)바닐라브릿지,/companies/330924/info/%EB%B0%94%EB%8B%90%EB%9D%BC%EB%B8%8C%EB%A6%BF%EC%A7%80?,3.7,"4,752"
세븐레이어스코리아(주),/companies/26759/info/%EC%84%B8%EB%B8%90%EB%A0%88%EC%9D%B4%EC%96%B4%EC%8A%A4%EC%BD%94%EB%A6%AC%EC%95%84?,3.7,"3,898"
(주)우리요,/companies/350836/info/%EC%9A%B0%EB%A6%AC%EC%9A%94?,3.7,"4,006"
미드미넷(주),/companies/319100/info/%EB%AF%B8%EB%93%9C%EB%AF%B8%EB%84%B7?,3.7,"3,479"
